# idh: Índice de Desenvolvimento Humano (IDH) (2000);
# renda: Renda per capita (2000);
# anfab: Alfabetizados - pessoas 15 anos e mais (2000);
???Sigla;Código;Município;idh;renda;alfab;
BA;2901957;Apuarema;;72,094;63,464;
BA;2902005;Aracatu;;67,781;58,705;
BA;2902054;Araças;;62,345;68,563;
BA;2902104;Araci;;59,235;55,679;
BA;2902203;Aramari;;94,748;68,012;
BA;2902252;Arataca;;73,166;59,383;
BA;2902302;Aratuípe;;78,254;64,225;
BA;2902401;Aurelino Leal;;63,206;62,964;
BA;2902500;Baianópolis;;76,898;58,337;
BA;2902609;Baixa Grande;;73,354;70,304;
BA;2902658;Banzaê;;70,567;64,396;
BA;2902708;Barra;;56,374;64,88;
BA;2902807;Barra da Estiva;;96,164;69,111;
BA;2902906;Barra do Choça;;71,748;64,325;
BA;2903003;Barra do Mendes;;89,723;80,553;
BA;2903102;Barra do Rocha;;77,548;60,677;
BA;2903201;Barreiras;;229,244;84,415;
BA;2903235;Barro Alto;;76,316;77,83;
BA;2903276;Barrocas;;;;
BA;2903300;Governador Lomanto Júnior;;84,062;69,96;
BA;2903409;Belmonte;;114,722;69,284;
BA;2903508;Belo Campo;;98,47;66,609;
BA;2903607;Biritinga;;78,973;63,774;
BA;2903706;Boa Nova;;54,428;56,764;
BA;2903805;Boa Vista do Tupim;;59,066;65,13;
BA;2903904;Bom Jesus da Lapa;;125,413;74,617;
BA;2903953;Bom Jesus da Serra;;52,599;62,614;
BA;2904001;Boninal;;76,804;71,302;
BA;2904050;Bonito;;76,336;73,215;
BA;2904100;Boquira;;80,919;67,093;
BA;2904209;Botuporã;;55,833;67,954;
BA;2904308;Brejões;;100,11;68,997;
BA;2904407;Brejolândia;;61,678;70,492;
BA;2904506;Brotas de Macaúbas;;64,077;74,319;
BA;2904605;Brumado;;135,333;76,776;
BA;2904704;Buerarema;;87,032;69,595;
BA;2904753;Buritirama;;40,515;64,139;
BA;2904803;Caatiba;;68,326;67,582;
BA;2904852;Cabaceiras do Paraguaçu;;64,593;62,818;
BA;2904902;Cachoeira;;119,473;78,104;
BA;2905008;Caculé;;145,141;74,909;
BA;2905107;Caém;;65,816;67,228;
BA;2905156;Caetanos;;61,663;61,373;
BA;2905206;Caetité;;108,251;69,291;
BA;2905305;Cafarnaum;;85,821;70,528;
BA;2905404;Cairu;;85,307;71,406;
BA;2905503;Caldeirão Grande;;60,959;67,546;
BA;2905602;Camacan;;106,973;70,879;
BA;2905701;Camaçari;;163,149;87,647;
BA;2905800;Camamu;;79,102;62,299;
BA;2905909;Campo Alegre de Lourdes;;62,981;62,787;
BA;2906006;Campo Formoso;;91,236;66,755;
BA;2906105;Canápolis;;77,335;64,564;
BA;2906204;Canarana;;87,739;76,023;
BA;2906303;Canavieiras;;120,983;72,296;
BA;2906402;Candeal;;72,089;68,057;
BA;2906501;Candeias;;149,375;86,473;
BA;2906600;Candiba;;75,746;67,831;
BA;2906709;Cândido Sales;;110,8;66,863;
BA;2906808;Cansanção;;56,301;60,285;
BA;2906824;Canudos;;75,301;67,831;
BA;2906857;Capela do Alto Alegre;;104,521;62,931;
BA;2906873;Capim Grosso;;106,093;70,304;
BA;2906899;Caraíbas;;74,286;61,273;
BA;2906907;Caravelas;;184,732;68,374;
BA;2907004;Cardeal da Silva;;69,82;68,082;
